OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,,,
SO - 0003324,15-05-2018,26-05-2018,49,Wholesale,NZD,AXW291,26,7,11,247.90,173.53,"2,726.90",,,
SO - 0005467,15-05-2018,23-05-2018,5,Distributor,NZD,AXW291,40,1,12,696.80,564.41,"8,361.60",,,
SO - 000783,16-05-2018,21-05-2018,13,Wholesale,NZD,AXW291,79,7,11,"3,865.90","3,092.72","42,524.90",,,
SO - 0001370,16-05-2018,03-06-2018,8,Distributor,USD,AXW291,38,2,11,"3,564.40","2,495.08","39,208.40",,,
SO - 0001516,16-05-2018,19-05-2018,49,Wholesale,NZD,AXW291,71,7,5,"3,236.10","2,329.99","16,180.50",,,
SO - 0001809,16-05-2018,21-05-2018,37,Wholesale,USD,AXW291,15,10,9,"2,546.00","1,654.90","22,914.00",,,
SO - 0001857,16-05-2018,21-05-2018,12,Wholesale,NZD,AXW291,53,1,5,"1,152.40",944.97,"5,762.00",,,
SO - 0002306,16-05-2018,28-05-2018,15,Export,GBP,AXW291,44,4,10,"1,701.80","1,412.49","17,018.00",,,
SO - 0002870,16-05-2018,29-05-2018,34,Wholesale,USD,AXW291,95,5,5,"3,242.80","2,529.38","16,214.00",,,
SO - 0003480,16-05-2018,03-06-2018,8,Export,USD,AXW291,38,2,6,"1,252.90",914.62,"7,517.40",,,
SO - 0005031,16-05-2018,02-06-2018,42,Distributor,NZD,AXW291,13,7,12,964.80,530.64,"11,577.60",,,
SO - 0005160,16-05-2018,19-05-2018,34,Export,USD,AXW291,97,11,5,"1,742.00","1,480.70","8,710.00",,,
SO - 0005976,16-05-2018,30-05-2018,29,Wholesale,NZD,AXW291,64,7,7,"1,212.70",812.51,"8,488.90",,,
SO - 0006340,16-05-2018,29-05-2018,35,Distributor,USD,AXW291,76,7,6,254.60,150.21,"1,527.60",,,
SO - 0007529,16-05-2018,25-05-2018,3,Distributor,GBP,AXW291,93,11,5,"5,165.70","4,235.87","25,828.50",,,
SO - 0007633,16-05-2018,03-06-2018,30,Distributor,USD,AXW291,100,1,7,"1,005.00",572.85,"7,035.00",,,
SO - 0001579,17-05-2018,20-05-2018,38,Export,NZD,AXW291,48,4,10,"1,675.00",670.00,"16,750.00",,,
SO - 0002351,17-05-2018,03-06-2018,11,Wholesale,NZD,AXW291,71,11,8,797.30,621.89,"6,378.40",,,
SO - 0002701,17-05-2018,25-05-2018,3,Export,AUD,AXW291,96,1,7,"5,755.30","3,683.39","40,287.10",,,
SO - 0003991,17-05-2018,22-05-2018,8,Distributor,USD,AXW291,54,2,8,"1,072.00",482.40,"8,576.00",,,
SO - 0007545,17-05-2018,01-06-2018,9,Wholesale,NZD,AXW291,26,2,6,"5,333.20","2,986.59","31,999.20",,,
SO - 0001012,18-05-2018,27-05-2018,21,Distributor,AUD,GUT930,39,7,8,"1,681.70","1,143.56","13,453.60",,,
SO - 0001494,18-05-2018,27-05-2018,46,Wholesale,NZD,GUT930,5,2,12,234.50,136.01,"2,814.00",,,
SO - 0001751,18-05-2018,27-05-2018,27,Distributor,AUD,GUT930,14,11,11,"5,969.70","3,223.64","65,666.70",,,
SO - 0002064,18-05-2018,02-06-2018,6,Wholesale,NZD,GUT930,16,7,12,"6,083.60","2,737.62","73,003.20",,,
SO - 0003475,18-05-2018,03-06-2018,21,Wholesale,AUD,GUT930,90,9,7,"5,983.10","3,410.37","41,881.70",,,
SO - 0005062,18-05-2018,26-05-2018,23,Wholesale,NZD,GUT930,24,7,11,"3,953.00","3,320.52","43,483.00",,,
SO - 0005346,18-05-2018,29-05-2018,44,Distributor,USD,GUT930,72,5,10,"1,085.40",759.78,"10,854.00",,,
SO - 0005356,18-05-2018,23-05-2018,36,Wholesale,NZD,GUT930,19,11,8,"2,599.60","2,105.68","20,796.80",,,
SO - 0006177,18-05-2018,30-05-2018,1,Wholesale,NZD,GUT930,69,1,5,"1,165.80",571.24,"5,829.00",,,
SO - 000348,19-05-2018,24-05-2018,8,Distributor,USD,GUT930,42,14,9,"5,607.90","3,476.90","50,471.10",,,
SO - 0001100,19-05-2018,31-05-2018,43,Distributor,AUD,GUT930,68,9,12,"5,306.40","2,387.88","63,676.80",,,
SO - 0001861,19-05-2018,06-06-2018,3,Wholesale,GBP,GUT930,2,13,12,"1,963.10","1,217.12","23,557.20",,,
SO - 0002669,19-05-2018,02-06-2018,30,Distributor,USD,GUT930,34,2,7,"3,953.00","2,529.92","27,671.00",,,
SO - 0005764,19-05-2018,30-05-2018,29,Wholesale,USD,GUT930,24,11,10,"1,011.70",566.55,"10,117.00",,,
SO - 0005871,19-05-2018,02-06-2018,32,Wholesale,AUD,GUT930,16,11,12,991.60,743.70,"11,899.20",,,
SO - 0006057,19-05-2018,03-06-2018,45,Distributor,NZD,GUT930,99,10,9,194.30,89.38,"1,748.70",,,
SO - 000125,20-05-2018,24-05-2018,15,Wholesale,NZD,GUT930,45,8,12,268.00,131.32,"3,216.00",,,
SO - 000807,20-05-2018,01-06-2018,29,Wholesale,NZD,GUT930,21,9,7,998.30,439.25,"6,988.10",,,
SO - 0001758,20-05-2018,23-05-2018,27,Distributor,NZD,GUT930,70,13,6,"3,155.70","2,335.22","18,934.20",,,
SO - 0002143,20-05-2018,30-05-2018,35,Distributor,USD,GUT930,32,13,12,"3,959.70","3,207.36","47,516.40",,,
SO - 0002319,20-05-2018,29-05-2018,34,Wholesale,NZD,GUT930,85,13,6,850.90,646.68,"5,105.40",,,
SO - 0003415,20-05-2018,23-05-2018,45,Distributor,AUD,GUT930,10,7,10,"3,879.30","1,823.27","38,793.00",,,
SO - 0005291,20-05-2018,03-06-2018,14,Wholesale,NZD,GUT930,2,9,6,"1,815.70","1,379.93","10,894.20",,,
SO - 0005440,20-05-2018,01-06-2018,45,Distributor,NZD,GUT930,69,1,11,917.90,706.78,"10,096.90",,,
SO - 0007358,20-05-2018,06-06-2018,47,Wholesale,GBP,GUT930,8,7,6,"3,705.10","2,964.08","22,230.60",,,
SO - 0007700,20-05-2018,02-06-2018,5,Wholesale,AUD,GUT930,61,7,8,850.90,578.61,"6,807.20",,,
SO - 000942,21-05-2018,07-06-2018,1,Distributor,NZD,GUT930,7,2,9,"1,031.80",515.90,"9,286.20",,,
SO - 0001185,21-05-2018,28-05-2018,8,Export,NZD,GUT930,97,5,7,"3,671.60","1,652.22","25,701.20",,,
SO - 0001694,21-05-2018,06-06-2018,47,Wholesale,AUD,GUT930,9,5,7,"1,112.20",756.30,"7,785.40",,,
SO - 0001765,21-05-2018,27-05-2018,3,Export,GBP,GUT930,24,7,9,"1,139.00",899.81,"10,251.00",,,
SO - 0003206,21-05-2018,27-05-2018,41,Wholesale,GBP,GUT930,46,5,12,"1,058.60",476.37,"12,703.20",,,
SO - 0003560,21-05-2018,24-05-2018,18,Distributor,AUD,GUT930,26,7,6,"3,819.00","2,062.26","22,914.00",,,
SO - 0005074,21-05-2018,03-06-2018,18,Export,NZD,GUT930,17,3,10,214.40,109.34,"2,144.00",,,
SO - 0005647,21-05-2018,31-05-2018,2,Wholesale,NZD,GUT930,43,2,7,"2,680.00","1,206.00","18,760.00",,,
SO - 0005657,21-05-2018,25-05-2018,15,Wholesale,USD,GUT930,91,2,12,"3,484.00","2,160.08","41,808.00",,,
SO - 0006495,21-05-2018,01-06-2018,25,Wholesale,USD,GUT930,13,11,9,"1,051.90",831.00,"9,467.10",,,
SO - 0007630,21-05-2018,24-05-2018,2,Distributor,GBP,GUT930,16,3,11,227.80,100.23,"2,505.80",,,
SO - 0002299,22-05-2018,07-06-2018,45,Wholesale,NZD,GUT930,94,7,5,"2,257.90","1,422.48","11,289.50",,,
SO - 0002481,22-05-2018,03-06-2018,20,Wholesale,NZD,GUT930,18,3,6,"2,646.50","1,667.30","15,879.00",,,
SO - 0003750,22-05-2018,31-05-2018,22,Wholesale,AUD,GUT930,14,12,7,"1,728.60","1,175.45","12,100.20",,,
SO - 0004863,22-05-2018,04-06-2018,26,Export,AUD,GUT930,91,1,12,"2,324.90","1,441.44","27,898.80",,,
SO - 000512,23-05-2018,02-06-2018,17,Distributor,USD,GUT930,53,1,9,241.20,135.07,"2,170.80",,,
SO - 0002052,23-05-2018,30-05-2018,13,Export,NZD,GUT930,9,9,8,241.20,101.30,"1,929.60",,,
SO - 0002251,23-05-2018,02-06-2018,19,Distributor,AUD,GUT930,63,2,5,"1,795.60",772.11,"8,978.00",,,
SO - 0003505,23-05-2018,05-06-2018,13,Export,EUR,GUT930,1,2,7,"1,132.30",962.46,"7,926.10",,,
SO - 0003852,23-05-2018,03-06-2018,40,Wholesale,EUR,GUT930,80,6,6,"1,929.60","1,543.68","11,577.60",,,
SO - 0004674,23-05-2018,28-05-2018,19,Distributor,USD,GUT930,88,2,5,"5,413.60","2,869.21","27,068.00",,,
SO - 0005492,23-05-2018,28-05-2018,2,Export,USD,GUT930,71,11,5,"1,078.70",852.17,"5,393.50",,,
SO - 0006460,23-05-2018,29-05-2018,43,Distributor,AUD,GUT930,67,7,11,"1,058.60",889.22,"11,644.60",,,
SO - 0007541,23-05-2018,28-05-2018,24,Wholesale,NZD,GUT930,36,1,10,924.60,499.28,"9,246.00",,,
SO - 0007640,23-05-2018,04-06-2018,42,Wholesale,USD,GUT930,77,11,8,"2,385.20","1,645.79","19,081.60",,,
SO - 0001619,24-05-2018,10-06-2018,20,Export,USD,GUT930,53,7,5,991.60,624.71,"4,958.00",,,
SO - 0002159,24-05-2018,03-06-2018,39,Distributor,NZD,GUT930,100,7,11,"1,005.00",412.05,"11,055.00",,,
SO - 0004395,24-05-2018,02-06-2018,17,Distributor,USD,GUT930,24,3,12,"2,626.40","1,785.95","31,516.80",,,
SO - 0004578,24-05-2018,09-06-2018,21,Export,AUD,GUT930,79,7,7,938.00,515.90,"6,566.00",,,
SO - 0005072,24-05-2018,09-06-2018,23,Wholesale,NZD,GUT930,81,11,9,"3,979.80","3,024.65","35,818.20",,,
SO - 0006170,24-05-2018,28-05-2018,26,Wholesale,GBP,GUT930,43,13,5,938.00,684.74,"4,690.00",,,
SO - 0006601,24-05-2018,06-06-2018,34,Wholesale,AUD,GUT930,46,9,8,"3,966.40","3,133.46","31,731.20",,,
SO - 0007631,24-05-2018,31-05-2018,14,Distributor,USD,GUT930,86,5,8,"1,018.40",661.96,"8,147.20",,,
SO - 0001095,25-05-2018,04-06-2018,18,Wholesale,AUD,GUT930,58,2,7,971.50,437.18,"6,800.50",,,
SO - 0002978,25-05-2018,07-06-2018,29,Distributor,USD,GUT930,39,2,9,"1,078.70",744.30,"9,708.30",,,
SO - 0004100,25-05-2018,02-06-2018,28,Wholesale,USD,GUT930,1,5,6,"1,018.40",478.65,"6,110.40",,,
SO - 0005071,25-05-2018,02-06-2018,7,Export,EUR,GUT930,14,7,9,"3,919.50","2,822.04","35,275.50",,,
SO - 0005842,25-05-2018,10-06-2018,17,Wholesale,NZD,GUT930,22,13,6,254.60,155.31,"1,527.60",,,
SO - 0005928,25-05-2018,04-06-2018,38,Wholesale,NZD,GUT930,31,2,8,"3,906.10","2,421.78","31,248.80",,,
SO - 0005993,25-05-2018,11-06-2018,34,Distributor,GBP,GUT930,93,11,5,"1,896.10",948.05,"9,480.50",,,
SO - 000204,26-05-2018,04-06-2018,38,Wholesale,USD,GUT930,55,7,6,"2,532.60","2,051.41","15,195.60",,,
SO - 0001430,26-05-2018,06-06-2018,39,Wholesale,USD,GUT930,72,2,8,221.10,181.30,"1,768.80",,,
SO - 0002205,26-05-2018,29-05-2018,33,Wholesale,USD,GUT930,81,5,10,"1,105.50",884.40,"11,055.00",,,
SO - 0003632,26-05-2018,02-06-2018,29,Distributor,NZD,GUT930,71,7,7,"3,597.90","2,698.43","25,185.30",,,
SO - 0004071,26-05-2018,08-06-2018,27,Distributor,USD,GUT930,68,7,5,723.60,361.80,"3,618.00",,,
SO - 0004213,26-05-2018,02-06-2018,40,Distributor,AUD,GUT930,19,11,11,"1,842.50","1,123.93","20,267.50",,,
SO - 0006148,26-05-2018,03-06-2018,44,Wholesale,NZD,GUT930,11,2,12,"1,051.90",546.99,"12,622.80",,,
SO - 0004170,27-05-2018,05-06-2018,3,Export,USD,GUT930,95,1,11,"4,006.60","3,365.54","44,072.60",,,
SO - 0005022,27-05-2018,01-06-2018,24,Wholesale,EUR,GUT930,79,7,12,897.80,475.83,"10,773.60",,,
SO - 0006853,27-05-2018,13-06-2018,48,Wholesale,EUR,GUT930,62,4,8,"3,912.80","3,325.88","31,302.40",,,
SO - 0007937,27-05-2018,05-06-2018,17,Distributor,EUR,GUT930,79,2,11,"5,065.20","4,102.81","55,717.20",,,
SO - 0001869,28-05-2018,09-06-2018,37,Distributor,NZD,GUT930,24,5,12,"6,545.90","2,749.28","78,550.80",,,
SO - 0001941,28-05-2018,15-06-2018,34,Distributor,NZD,GUT930,19,11,12,"1,038.50",581.56,"12,462.00",,,
SO - 0003409,28-05-2018,31-05-2018,37,Wholesale,USD,GUT930,91,7,9,"1,259.60",919.51,"11,336.40",,,
SO - 0004062,28-05-2018,06-06-2018,42,Distributor,AUD,GUT930,72,2,6,"5,447.10","2,614.61","32,682.60",,,
SO - 0006216,28-05-2018,11-06-2018,22,Wholesale,AUD,GUT930,29,7,9,"1,835.80",917.90,"16,522.20",,,
SO - 0007845,28-05-2018,04-06-2018,6,Wholesale,NZD,GUT930,78,5,7,"3,283.00","1,936.97","22,981.00",,,
SO - 0001473,29-05-2018,05-06-2018,31,Distributor,GBP,GUT930,13,5,7,"2,747.00","1,785.55","19,229.00",,,
SO - 0002960,29-05-2018,14-06-2018,21,Export,AUD,GUT930,25,7,5,"1,232.80",653.38,"6,164.00",,,
SO - 0003247,29-05-2018,16-06-2018,49,Export,AUD,GUT930,33,10,10,"2,405.30","1,611.55","24,053.00",,,
SO - 0004451,29-05-2018,16-06-2018,10,Wholesale,GBP,GUT930,94,13,12,"6,559.30","5,444.22","78,711.60",,,
SO - 0005992,29-05-2018,15-06-2018,30,Distributor,GBP,GUT930,3,11,7,743.70,557.78,"5,205.90",,,
SO - 0006232,29-05-2018,06-06-2018,4,Distributor,USD,GUT930,70,10,6,"3,912.80","1,604.25","23,476.80",,,
SO - 0006811,29-05-2018,06-06-2018,12,Distributor,AUD,GUT930,78,1,8,"3,879.30","1,784.48","31,034.40",,,
SO - 0007738,29-05-2018,08-06-2018,23,Export,USD,GUT930,52,11,12,"2,820.70","1,664.21","33,848.40",,,
SO - 000325,30-05-2018,10-06-2018,4,Wholesale,USD,GUT930,82,11,9,"1,078.70",722.73,"9,708.30",,,
SO - 0004747,30-05-2018,11-06-2018,13,Distributor,USD,GUT930,1,2,8,"1,869.30","1,476.75","14,954.40",,,
SO - 0005233,30-05-2018,14-06-2018,27,Export,NZD,GUT930,6,11,12,227.80,111.62,"2,733.60",,,
SO - 0006030,30-05-2018,05-06-2018,48,Wholesale,NZD,GUT930,23,5,11,"3,685.00","2,395.25","40,535.00",,,
SO - 0002612,31-05-2018,07-06-2018,33,Export,EUR,GUT930,16,3,7,"1,139.00",854.25,"7,973.00",,,
SO - 0002996,31-05-2018,16-06-2018,38,Distributor,AUD,GUT930,74,11,10,"5,078.60","3,605.81","50,786.00",,,
SO - 0003302,31-05-2018,05-06-2018,41,Wholesale,AUD,GUT930,84,7,9,"3,899.40","3,002.54","35,094.60",,,
SO - 0003456,31-05-2018,09-06-2018,32,Wholesale,USD,GUT930,23,5,6,"3,926.20","2,905.39","23,557.20",,,
SO - 0006156,31-05-2018,17-06-2018,34,Wholesale,USD,GUT930,46,1,12,"1,835.80",972.97,"22,029.60",,,
SO - 000264,01-06-2018,15-06-2018,35,Distributor,NZD,GUT930,26,3,8,"1,118.90",850.36,"8,951.20",,,
SO - 000285,01-06-2018,17-06-2018,4,Wholesale,NZD,GUT930,33,2,12,871.00,374.53,"10,452.00",,,
SO - 0001568,01-06-2018,04-06-2018,25,Wholesale,NZD,GUT930,89,7,12,"1,695.10",678.04,"20,341.20",,,
SO - 0002520,01-06-2018,19-06-2018,48,Wholesale,USD,GUT930,35,7,6,"1,098.80",604.34,"6,592.80",,,
SO - 0003152,01-06-2018,15-06-2018,25,Wholesale,USD,GUT930,19,5,6,"2,338.30","1,894.02","14,029.80",,,
SO - 0003179,01-06-2018,04-06-2018,48,Export,NZD,GUT930,97,12,11,"1,708.50",734.66,"18,793.50",,,
SO - 0003819,01-06-2018,12-06-2018,17,Wholesale,NZD,GUT930,94,13,9,"1,098.80",802.12,"9,889.20",,,
SO - 0004154,01-06-2018,13-06-2018,33,Distributor,NZD,GUT930,51,7,5,167.50,90.45,837.50,,,
SO - 0004787,01-06-2018,07-06-2018,23,Wholesale,NZD,GUT930,10,1,6,"3,484.00","1,567.80","20,904.00",,,
SO - 0007971,01-06-2018,17-06-2018,32,Wholesale,NZD,GUT930,34,6,11,"6,472.20","4,012.76","71,194.20",,,
SO - 0001030,02-06-2018,09-06-2018,47,Export,USD,GUT930,74,9,12,"2,003.30",921.52,"24,039.60",,,
SO - 0002783,02-06-2018,14-06-2018,41,Distributor,EUR,GUT930,61,1,5,167.50,117.25,837.50,,,
SO - 0003434,02-06-2018,18-06-2018,35,Wholesale,AUD,GUT930,50,7,6,"1,065.30",724.40,"6,391.80",,,
SO - 0004621,02-06-2018,14-06-2018,2,Distributor,USD,GUT930,25,11,12,"2,532.60","1,595.54","30,391.20",,,
SO - 0006921,02-06-2018,10-06-2018,3,Wholesale,AUD,GUT930,91,2,10,227.80,95.68,"2,278.00",,,
SO - 0007348,02-06-2018,19-06-2018,43,Wholesale,GBP,GUT930,64,7,11,"1,835.80",844.47,"20,193.80",,,
SO - 0001950,03-06-2018,13-06-2018,28,Distributor,USD,GUT930,1,11,5,"1,293.10",956.89,"6,465.50",,,
SO - 0002374,03-06-2018,15-06-2018,40,Wholesale,NZD,GUT930,17,6,8,"2,525.90","1,591.32","20,207.20",,,
SO - 0003529,03-06-2018,08-06-2018,16,Wholesale,AUD,GUT930,13,7,12,"2,479.00","1,065.97","29,748.00",,,
SO - 0005293,03-06-2018,18-06-2018,35,Wholesale,NZD,GUT930,40,11,10,"1,125.60",540.29,"11,256.00",,,
SO - 0005979,03-06-2018,11-06-2018,40,Wholesale,NZD,GUT930,81,11,11,"1,172.50",492.45,"12,897.50",,,
SO - 0007629,03-06-2018,12-06-2018,36,Distributor,USD,GUT930,83,2,8,"1,279.70",678.24,"10,237.60",,,
SO - 0007693,03-06-2018,15-06-2018,40,Wholesale,NZD,GUT930,20,3,6,984.90,512.15,"5,909.40",,,
SO - 000268,04-06-2018,08-06-2018,15,Distributor,USD,GUT930,24,2,10,"1,293.10",659.48,"12,931.00",,,
SO - 0001678,04-06-2018,13-06-2018,34,Wholesale,GBP,GUT930,36,9,10,268.00,171.52,"2,680.00",,,
SO - 0002214,04-06-2018,08-06-2018,49,Wholesale,AUD,GUT930,17,7,9,"1,889.40",944.70,"17,004.60",,,
SO - 0003144,04-06-2018,08-06-2018,49,Distributor,EUR,GUT930,41,12,9,750.40,630.34,"6,753.60",,,
SO - 0003266,04-06-2018,11-06-2018,24,Wholesale,USD,GUT930,13,2,5,207.70,153.70,"1,038.50",,,
SO - 0004581,04-06-2018,21-06-2018,21,Distributor,USD,GUT930,36,9,8,"3,892.70","2,296.69","31,141.60",,,
SO - 0005506,04-06-2018,07-06-2018,45,Distributor,AUD,GUT930,44,9,6,"1,701.80",816.86,"10,210.80",,,
SO - 0007000,04-06-2018,17-06-2018,16,Wholesale,USD,GUT930,10,1,6,"2,619.70","2,121.96","15,718.20",,,
SO - 000648,05-06-2018,14-06-2018,39,Wholesale,GBP,GUT930,88,2,7,"1,996.60","1,237.89","13,976.20",,,
SO - 0002256,05-06-2018,14-06-2018,24,Wholesale,NZD,GUT930,92,4,6,911.20,501.16,"5,467.20",,,
SO - 0005252,05-06-2018,13-06-2018,45,Wholesale,AUD,GUT930,57,5,10,"2,505.80","1,603.71","25,058.00",,,
SO - 0005919,05-06-2018,23-06-2018,14,Wholesale,NZD,GUT930,47,2,9,"3,999.90","2,159.95","35,999.10",,,
SO - 0005963,05-06-2018,17-06-2018,21,Distributor,AUD,GUT930,67,5,10,174.20,130.65,"1,742.00",,,
SO - 0006089,05-06-2018,12-06-2018,2,Wholesale,EUR,GUT930,5,1,6,830.80,589.87,"4,984.80",,,
SO - 0006581,05-06-2018,23-06-2018,42,Wholesale,NZD,GUT930,88,5,8,917.90,670.07,"7,343.20",,,
SO - 0006856,05-06-2018,18-06-2018,21,Wholesale,NZD,GUT930,69,5,11,991.60,644.54,"10,907.60",,,
SO - 000722,06-06-2018,16-06-2018,39,Distributor,USD,GUT930,84,1,7,"2,452.20","1,054.45","17,165.40",,,
SO - 0001690,06-06-2018,12-06-2018,14,Distributor,NZD,GUT930,35,5,8,"2,552.70","1,276.35","20,421.60",,,
SO - 0001973,06-06-2018,10-06-2018,26,Wholesale,USD,GUT930,90,2,7,"3,839.10","2,802.54","26,873.70",,,
SO - 0002215,06-06-2018,23-06-2018,3,Export,USD,GUT930,20,14,6,221.10,114.97,"1,326.60",,,
SO - 0002412,06-06-2018,18-06-2018,31,Wholesale,NZD,GUT930,85,5,6,"1,058.60",719.85,"6,351.60",,,
SO - 0002550,06-06-2018,16-06-2018,31,Export,NZD,GUT930,93,9,10,"1,715.20","1,337.86","17,152.00",,,
SO - 0003628,06-06-2018,14-06-2018,39,Wholesale,NZD,GUT930,55,7,5,750.40,607.82,"3,752.00",,,
SO - 0005534,06-06-2018,18-06-2018,28,Wholesale,USD,GUT930,31,1,11,"5,460.50","4,259.19","60,065.50",,,
SO - 0006533,06-06-2018,11-06-2018,50,Distributor,NZD,GUT930,60,1,11,"6,378.40","4,783.80","70,162.40",,,
SO - 0007523,06-06-2018,14-06-2018,5,Wholesale,NZD,GUT930,68,2,12,"2,010.00","1,005.00","24,120.00",,,
SO - 0001898,07-06-2018,11-06-2018,8,Wholesale,USD,GUT930,52,13,12,"1,748.70",821.89,"20,984.40",,,
SO - 0001602,08-06-2018,11-06-2018,48,Distributor,NZD,GUT930,1,2,7,"6,157.30","4,248.54","43,101.10",,,
SO - 0001618,08-06-2018,11-06-2018,18,Wholesale,NZD,GUT930,93,4,11,"1,762.10","1,162.99","19,383.10",,,
SO - 0004053,08-06-2018,23-06-2018,19,Wholesale,AUD,GUT930,66,4,7,"1,105.50",795.96,"7,738.50",,,
SO - 0004748,08-06-2018,23-06-2018,35,Distributor,USD,GUT930,91,5,7,"1,132.30",486.89,"7,926.10",,,
SO - 0004923,08-06-2018,25-06-2018,11,Wholesale,AUD,GUT930,6,1,8,"1,949.70","1,559.76","15,597.60",,,
SO - 0004936,08-06-2018,15-06-2018,49,Export,USD,GUT930,37,9,8,180.90,139.29,"1,447.20",,,
SO - 0007577,08-06-2018,18-06-2018,50,Distributor,GBP,GUT930,85,13,12,"1,038.50",591.95,"12,462.00",,,
SO - 0003521,09-06-2018,25-06-2018,46,Export,NZD,GUT930,12,6,5,"1,078.70",841.39,"5,393.50",,,
SO - 0004424,09-06-2018,17-06-2018,29,Wholesale,AUD,GUT930,32,3,8,"1,762.10",775.32,"14,096.80",,,
SO - 0004993,09-06-2018,21-06-2018,41,Distributor,NZD,GUT930,15,7,5,"1,105.50",718.58,"5,527.50",,,
SO - 0005630,09-06-2018,13-06-2018,46,Export,USD,GUT930,7,7,9,"2,237.80",984.63,"20,140.20",,,
SO - 0005754,09-06-2018,15-06-2018,35,Wholesale,NZD,GUT930,100,9,6,"1,058.60",793.95,"6,351.60",,,
SO - 0006702,09-06-2018,17-06-2018,12,Wholesale,USD,GUT930,31,2,11,911.20,601.39,"10,023.20",,,
SO - 0001784,10-06-2018,22-06-2018,12,Distributor,NZD,GUT930,51,7,9,214.40,109.34,"1,929.60",,,
SO - 0001854,10-06-2018,20-06-2018,23,Wholesale,USD,GUT930,20,7,8,"1,051.90",662.70,"8,415.20",,,
SO - 0002678,10-06-2018,15-06-2018,39,Export,NZD,GUT930,23,5,8,830.80,581.56,"6,646.40",,,
SO - 0002877,10-06-2018,27-06-2018,23,Wholesale,NZD,GUT930,7,13,10,"5,406.90","3,352.28","54,069.00",,,
SO - 0005231,10-06-2018,18-06-2018,11,Wholesale,AUD,GUT930,18,4,11,"3,852.50","1,926.25","42,377.50",,,
SO - 0002834,11-06-2018,29-06-2018,32,Distributor,NZD,GUT930,62,1,10,"2,512.50","1,306.50","25,125.00",,,
SO - 0003102,11-06-2018,19-06-2018,25,Wholesale,AUD,GUT930,95,2,10,"2,599.60","1,195.82","25,996.00",,,
SO - 0006185,11-06-2018,20-06-2018,23,Distributor,USD,GUT930,20,7,8,"1,078.70",442.27,"8,629.60",,,
SO - 0007492,11-06-2018,20-06-2018,14,Wholesale,NZD,GUT930,14,5,10,"2,981.50","1,759.09","29,815.00",,,
SO - 000202,12-06-2018,26-06-2018,14,Wholesale,AUD,GUT930,93,7,7,"5,313.10","2,656.55","37,191.70",,,
SO - 000313,12-06-2018,27-06-2018,35,Wholesale,NZD,GUT930,68,11,8,167.50,123.95,"1,340.00",,,
SO - 0001279,12-06-2018,26-06-2018,45,Wholesale,AUD,GUT930,22,5,9,"5,936.20","3,264.91","53,425.80",,,
SO - 0002163,12-06-2018,22-06-2018,5,Wholesale,NZD,GUT930,66,10,8,"5,808.90","3,485.34","46,471.20",,,
SO - 0003012,12-06-2018,30-06-2018,41,Wholesale,USD,GUT930,90,2,11,"3,463.90","2,528.65","38,102.90",,,
SO - 0004196,12-06-2018,24-06-2018,45,Distributor,NZD,GUT930,45,11,6,"1,011.70",829.59,"6,070.20",,,
SO - 0005587,12-06-2018,20-06-2018,35,Export,NZD,GUT930,13,2,6,"2,572.80","2,186.88","15,436.80",,,
SO - 0005628,12-06-2018,29-06-2018,42,Wholesale,NZD,GUT930,54,7,9,"3,892.70","2,257.77","35,034.30",,,
SO - 0007245,12-06-2018,19-06-2018,47,Export,GBP,GUT930,66,2,8,"2,546.00","1,196.62","20,368.00",,,
SO - 0008022,12-06-2018,17-06-2018,48,Wholesale,NZD,GUT930,17,13,5,"3,946.30","2,683.48","19,731.50",,,
SO - 0001323,13-06-2018,21-06-2018,1,Distributor,NZD,GUT930,24,2,9,"3,155.70","1,924.98","28,401.30",,,
SO - 0002352,13-06-2018,18-06-2018,17,Distributor,NZD,GUT930,67,5,5,"1,139.00",626.45,"5,695.00",,,
SO - 0002659,13-06-2018,27-06-2018,20,Distributor,EUR,GUT930,16,8,12,"5,896.00","4,127.20","70,752.00",,,
SO - 0003140,13-06-2018,23-06-2018,1,Wholesale,EUR,GUT930,29,9,5,"2,492.40","1,694.83","12,462.00",,,
SO - 0003300,13-06-2018,18-06-2018,20,Wholesale,USD,GUT930,26,9,10,"1,018.40",539.75,"10,184.00",,,
SO - 000243,14-06-2018,18-06-2018,27,Wholesale,NZD,GUT930,73,7,12,"1,299.80",922.86,"15,597.60",,,
SO - 000497,14-06-2018,02-07-2018,29,Wholesale,NZD,GUT930,88,10,11,"1,279.70","1,062.15","14,076.70",,,
SO - 0001798,14-06-2018,01-07-2018,35,Export,GBP,GUT930,69,13,9,241.20,108.54,"2,170.80",,,
SO - 0007656,14-06-2018,19-06-2018,45,Distributor,AUD,GUT930,62,5,9,247.90,143.78,"2,231.10",,,
SO - 000751,15-06-2018,18-06-2018,3,Export,NZD,GUT930,25,5,5,"3,242.80","1,459.26","16,214.00",,,
SO - 0001315,15-06-2018,26-06-2018,29,Export,NZD,GUT930,78,7,7,"2,472.30","1,310.32","17,306.10",,,
SO - 0002453,15-06-2018,01-07-2018,11,Export,USD,GUT930,82,7,5,"1,072.00",696.80,"5,360.00",,,
